step_id,model_type,scenario_id,latency_ms,emotional_valence,coherence_score,planning_effectiveness,behavioral_alignment,fact_recall,rule_adherence,persona_consistency,emotional_trajectory,sensory_integration,decision_consistency,memory_hits
12,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,27557.215,0,8,6,5,3,8,8,6,1,9,2
12,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3705.1019,0.5,3,2,2,4,2,5,5,1,3,0
13,BrainCEMISID,Andean_Disaster_Response:_Autonomous_Triage,31280.5707,0.95,9,8,9,10,10,9,8,1,9,2
13,Brain_No_Memory,Andean_Disaster_Response:_Autonomous_Triage,18756.2157,0.95,8,9,10,7,9,9,9,1,9,2
13,Brain_No_Emotion,Andean_Disaster_Response:_Autonomous_Triage,27766.7592,0,9,9,7,7,10,7,7,1,9,2
13,Baseline,Andean_Disaster_Response:_Autonomous_Triage,3290.1619,0.5,1,1,1,2,1,1,1,1,1,0
1,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,29977.9074,0.2,9,8,4,10,10,5,6,1,10,2
1,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,18117.9225,0.2,7,9,4,9,9,5,5,1,8,2
1,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,25610.6226,0,9,7,3,10,10,8,7,2,9,2
1,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,3518.146,0.5,9,8,5,10,10,7,6,1,9,0
2,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31373.405,0.3,9,5,3,1,8,5,5,4,8,2
2,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,17606.3274,0.3,8,5,9,6,9,10,10,5,8,2
2,Brain_No_Emotion,Operation_Sylvan_Shield:_The_Silent_Forest,27393.335,0,8,3,6,5,8,6,5,5,8,2
2,Baseline,Operation_Sylvan_Shield:_The_Silent_Forest,5010.6634,0.5,3,3,1,5,1,1,1,3,4,0
3,BrainCEMISID,Operation_Sylvan_Shield:_The_Silent_Forest,31912.5482,0.45,7,5,3,3,3,8,4,2,6,2
3,Brain_No_Memory,Operation_Sylvan_Shield:_The_Silent_Forest,18292.2726,0.45,7,3,2,8,1,5,3,4,3,2
